npsn,nama_sekolah,alamat,kelurahan,kecamatan,jumlah_siswa,jumlah_guru,kepala_sekolah,telp_sekolah,akreditasi,latitude,longitude
20100170,SMA Kanisius,Jl. Menteng Raya 64,Kebon Sirih,Menteng,700,44,"J. HERU HENDARTO, SJ",021 3193646,A,-6.185372,106.385101
20100173,SMA Paskalis,Jl. Ranjau 13,Sumur Batu,Kemayoran,132,11,"Rebertus Hemu, SS",021 4223046,A,-6.161159,106.872818
20100174,SMA Perg. Nasional,Jl. Cempaka Baru Timur,Sumur Batu,Kemayoran,59,11,,021 97943242,B,-6.170563,106.861786
20100175,SMA Advent Salemba,Jl Salemba Raya 47,Paseban,S e n e n,140,15,"Lis Indriastuti Hardiningsih,",021 31901286,A,-6.197712,106.850998
20100177,SMA PGRI 14,Jl. Setia Kawan 3 No. 25,Gambir,Gambir,35,8,ASALTA SEMBIRING,021 63868909,Tidak Terakreditasi,-6.164595,106.801178
20100179,SMA Santa Paulus,Jl. Setia Kawan Raya 39-41,Gambir,Gambir,53,16,"YUNITA SURBAKTI,S.Pd",021 63861345,B,-6.164335,106.801422
20100180,SMA Sunda Kelapa,Jl. Taman Sunda Kelapa 16 A,Menteng,Menteng,77,15,Ir. AMINAH,021 3902839,A,-6.201236,106.832047
20100181,SMA Taman Madya 1,Jl. Sunter Bendungan Jago 11,Serdang,Kemayoran,239,24,Muryanti,021 42872412,A,-6.154990,106.860779
20100182,SMA Muhammadiyah 2,Jl. Garuda No. 33,Gunung Sahari Selatan,Kemayoran,139,16,"Puji Astuti, S.Pd",021 42881266,A,-6.161700,106.842796
20100183,SMA Muhammadiyah 16,Jl. Kalibaru Barat No. 52 D,Bungur,S e n e n,122,17,MAKMUN,021 4202952,B,-6.169870,106.846390
20100184,SMA Muhammadiyah 14,Jl. Danau Limboto No. 2,Bendungan Hilir,Tanah Abang,23,16,"Trisna Embarsyah, S.Pd.",021 5708998,B,-6.208039,106.808128
20100185,SMA Kartini I,Jl. Kalibaru Timur V No. 1,Serdang,Kemayoran,247,23,"Drs. H. SURADI, MM",021 4263602,A,-6.172263,106.848305
20100186,SMAK 2 Penabur Jakarta,Jl. Pintu Air Raya 11,Pasar Baru,Sawah Besar,368,34,Boanerges Tiberias,021 3841721,A,-6.166532,106.830910
20100187,SMA Kristen 3 Penabur,Jl. Gunung Sahari 90a,Gunung Sahari Selatan,Kemayoran,606,41,"Dra. Chrisanty Budi Santoso, Apt.",021 4214883,A,-6.166684,106.839676
20100188,SMA K. Bethel,Jl.Petamburan IV No.4,Petamburan,Tanah Abang,67,16,"O. Lyanna N.,M.pd",021 53650687,A,-6.198100,106.810997
20100189,SMA Kristen Kanaan,Jl. Kran Raya No. 7,Gunung Sahari Selatan,Kemayoran,229,18,Indri Astuti S.Pd,021 4208481,A,-6.159574,106.846382
20100190,SMA Kristen Karunia,Jl. Kartini Raya No. 10 A,Pasar Baru,Sawah Besar,50,21,Yanto Suwendi,021 3841687,A,-6.155400,106.836197
20100191,SMA Kristen Ketapang 1,Jl. K. H. Zainul Arifin 35,Petojo Utara,Gambir,106,18,VINCENSIA ISNA KUNTARA,021 6322857,A,-6.160697,106.814026
20100193,SMA Perguruan Ksatriya,Jl. Percetakan Negara D 232,Cempaka Putih Barat,Cempaka Putih,423,41,"DRS. SARTONO, M. SI",021 4256689,A,,
20100194,SMA Mahatma Gandhi School,JL. TABING BLOK B-16 NO.3,Gunung Sahari Utara,Sawah Besar,175,18,"PRAMESTI SETIORINI, S.Pd",021 6542241,A,-6.153480,106.838127
20100195,SMA Muhammadiyah 1,Jl. Kramat Raya No. 49,Kramat,S e n e n,284,24,SITI MURSIDAH Dra,021 3101338,A,-6.185379,106.844604
20100196,SMA Taman Madya 5,Jl. Percetakan Negara VIII/16,Cempaka Putih Barat,Cempaka Putih,52,14,"HABIBURRAHMAN, S.Pd.MM.","021 4245365, 021 42888311",A,-6.192113,106.859894
20100197,SMA Tarsisius 1,Jl. KH. Hasyim Ashari No. 26,Petojo Utara,Gambir,225,27,Drs. STEPHANUS SUBARNO,021 63854382,A,-6.164929,106.816467
20100198,SMA Santa Theresia,Jl. Haji Agus Salim No. 75,Gondangdia,Menteng,494,34,"Dra.Godeliva K. Saptariningsih,MPd.",021 3142593,A,-6.189573,106.826012
20100199,SMA Negeri 68,Jl. Salemba Raya 18,Kenari,S e n e n,867,56,"Asep Kustiana, S.Pd",021 3142929,A,-6.197708,106.850815
20100200,SMA Negeri 7,Jl. Karet Pasar Baru Barat V,Karet Tengsin,Tanah Abang,624,49,"Drs. E. Awaluddin S., M.Pd.",021 5720934,A,-6.166497,106.819839
20100201,SMA Negeri 77,Jl. Cempaka Putih Tengah 17,Cempaka Putih Timur,Cempaka Putih,470,42,"GATOT HANDOYO, S.Pd.",021 4243119,A,-6.160353,106.873917
20100210,SMA Negeri 5,Jl. Raya Sumur Batu,Sumur Batu,Kemayoran,853,47,"Drs. H. Yumari, M.Si",021 4243869,A,-6.158845,106.866791
20100211,SMA Negeri 4,Jl. Batu No. 3,Gambir,Gambir,450,40,DRS. ADRIANSYAH,021 3843937,A,-6.178838,106.832809
20100212,SMA Negeri 35,Jl. Mutiara,Karet Tengsin,Tanah Abang,469,42,Dra. Atik Siti Atikah,021 5709328,A,-6.198582,106.815552
20100213,SMA Triwibawa,Jl. Rajawali Selatan I No.30,Gunung Sahari Utara,Sawah Besar,110,14,"Abdul Haris, SE.",021 6414962,B,-6.146523,106.837769
20100214,SMA Yapermas,Jl. Anyer No.7,Menteng,Menteng,100,12,Drs. Jangasih S,021 31930583,A,-6.204000,106.844002
20100215,SMA YP IPPI Petojo,Jl. Petojo Barat III/2,Petojo Utara,Gambir,423,29,"HILDA OCTAVIANI,S.Pd",021 6318984,A,-6.163697,106.811821
20100216,SMA Negeri 1,Jl. Budi Utomo No. 7,Pasar Baru,Sawah Besar,636,36,"Dra. Mas Ayu Yuliana,M.Pd",021 3865001,A,-6.164364,106.836617
20100217,SMA Negeri 10,Jl. Mangga Besar XIII,Mangga Dua Selatan,Sawah Besar,517,36,"Drs. Agus Wahyu Sutopo, M.Pd",021 6590192,A,-6.135178,106.826233
20100218,SMA Negeri 20,Jl. Krekot Bunder III/1 Kel. Pasar Baru,Pasar Baru,Sawah Besar,532,30,"Agnes Sukasni, S.Pd, M.Pd",021 3440021,A,-6.142603,106.831635
20100219,SMA Negeri 24,Jl. Lapangan Tembak Senayan,Gelora,Tanah Abang,509,37,"Drs. SUNARYANTO, M.Pd",021 5736984,A,-6.195851,106.798676
20100221,SMA Negeri 25,Jl. AM. Sangaji No. 22-24,Gambir,Gambir,533,36,Drs. Ahmad Paisal MM.,021 6331921,A,-6.149430,106.811035
20100223,SMA Negeri 27,Jl. Mardani Raya,Johar Baru,Johar Baru,478,41,"ZULHAMSHAH, S.Pd, M.Si.",021 4245969,A,-6.182500,106.861298
20100224,SMA Negeri 30,Jl. Jend. A. Yani,Cempaka Putih Timur,Cempaka Putih,654,53,"Drs. DWI ARSONO, M.Si",021 4244015,A,-6.124170,106.874786
20100483,SMA 3 PSKD,Jl. Kwini I No. 1,Senen,S e n e n,35,25,,021 3456193,A,-6.180654,106.838379
20100486,SMA Bunda Mulia,Jl. AM. Sangaji 20,Petojo Utara,Gambir,321,19,"PASIANUS BASALI DAELI, S.Pd",021 6329005,A,-6.163604,106.812454
20100487,SMA Cempaka,Jl. Cempaka Putih Barat XXI,Cempaka Putih Barat,Cempaka Putih,0,22,Dra. EMNI YUSTRI,021 4204285,B,-6.178611,106.863922
20100488,SMA Dharma Bakti,Jl. Mardani Raya No. 7,Cempaka Putih Barat,Cempaka Putih,1,11,Drs. SOEJITNO,021 4204336,B,-6.186516,106.863182
20100489,SMA Fransiskus 1,Jl. Kramat Raya 67,Kramat,S e n e n,60,22,MARSUDIN F. MALAU,021 3909254,A,-6.186638,106.844254
20100490,SMA PSKD 1,Jl. Diponegoro No. 80,Kenari,S e n e n,101,24,"YOHANNES P.SIAGIAN,S.Psi.MM.MBA",021 3904418,A,-6.201397,106.841988
20100505,SMA Islam Al Jihad,Jl. Kramat Jaya Baru,Johar Baru,Johar Baru,49,16,"ABDUL HALIK,S.Pd",021 4258451,B,-6.185635,106.851807
20100599,SMA Gandhi Ancol,Jl. Pangandaran IX Blok B 4 No. 1,Ancol,Pademangan,201,33,Drs. Ketut Suarma,021 6905768,A,-6.123298,106.822403
20100600,SMA Islam Al Azhar Kelapa Gading,Jl. Bulevar Timur,Pegangsaan Dua,Kelapa Gading,250,29,"Drs.H.Dwiyono Yulianto Prayitno, M.M.",021 4532440,A,-6.163638,106.910133
20100601,SMA Kristen 5 BPK Penabur,Jl. Hibrida Raya AQ-3 Kelapa Gading Permai,Kelapa Gading Barat,Kelapa Gading,785,67,"Dra. Duma M.S. Hutahaean, M.M.",021 4515673,A,-6.147488,106.908257
20100603,SMA Kristen Yusuf,Jl. Arwana II No. 16 Jembatan Dua,Pejagalan,Penjaringan,261,20,VENDY,021 6693111,A,-6.141484,106.794708
20100604,SMA Mahatma Gading,Jl. Boulevard Bukit Gading Raya Villa Gading Indah,Kelapa Gading Barat,Kelapa Gading,164,31,"Dra.Susy Poernasusila, MM",021 45843591,A,-6.161327,106.894310
20100605,SMA Methodist,Jl. Terusan Bandengan Utara No.91 AY,Pluit,Penjaringan,265,18,"Drs. Menason Setiawan, M.Pd.",021 6620212,A,-6.135980,106.790436
20100606,SMA Mutiara I,Jl. Komp. Yos Sudarso II/19,Kebon Bawang,Tanjung Priok,64,26,"Drs. H.Rumalutur Idris, BSc,MM",021 4352520,B,-6.111216,106.892548
20100607,SMA Permai,Jl. Pluit Karang Barat Blok O-VI No. 1,Pluit,Penjaringan,348,27,Drs. Robertus Kusnandar,021 6617515,A,-6.121052,106.774132
20100608,SMA PGRI 12 Jakarta,Jl. Tabah I No. 5 Komp. TNI AL Kodamar III,Kelapa Gading Barat,Kelapa Gading,86,23,"SITI SUHAEDAH, MM",021 4529428,A,-6.163339,106.885109
20100610,SMA Pusaka Abadi,Jl. V No. 28 Teluk Gong,Pluit,Penjaringan,158,20,Ir. ATIK WIDANARTI,021 6601644,A,-6.139305,106.784668
20100611,SMA Pusaka Nusantara,Jl. Edam 2 No. 17,Tanjung Priok,Tanjung Priok,29,12,"Hj. Maya Sri Astuti, S.Pd.",021 4301552,B,-6.111048,106.891861
20100612,SMA St. Nicholas,Jl. Pantai Indah Utara Blok S No. 8 PIK,Kapuk Muara,Penjaringan,118,11,"SOLEMAN PEPANG, S.Si",021 55965755,A,-6.139999,106.775726
20100613,SMA Tarakanita 2,Jl. Pluit Permai Dalam I/10,Pluit,Penjaringan,305,35,"FRANSISCUS ASISI SUYONO, SFK",021 6611478,A,-6.114635,106.792068
20100614,SMA Fons Vitae 2,Jl. Kramat Jaya No. 1 B,Lagoa,K o j a,138,17,"SR. M. Petra, OSF, M.Pd",021 43913561,A,-6.114343,106.916794
20100616,SMA Don Bosco I,Jl. Raya Boulevar Timur Kelapa Gading,Kelapa Gading Timur,Kelapa Gading,229,23,CEB. SETYONINGSIH,021 4528509,A,-6.265490,106.914291
